Rank,Game Name,Tags
1,向僵尸开炮,"休闲益智, 烧脑"
2,龙迹之城,"角色扮演, MMORPG"
3,无尽冬日,"动作冒险, 战术竞技"
4,三国：冰河时代,"休闲益智, 创新品类"
5,道友来挖宝,"角色扮演, 回合制"
6,将魂师,"角色扮演, ARPG"
7,灵画师,"角色扮演, ARPG"
8,雷霆战机：集结,"休闲益智, 烧脑"
9,跃动小子,"休闲益智, 烧脑"
10,寻道大千,"角色扮演, 卡牌"
11,百炼英雄,"角色扮演, ARPG"
12,新弹弹堂,"角色扮演, 回合制"
13,青云诀之伏魔,"角色扮演, MMORPG"
14,时光大爆炸,"休闲益智, 经营"
15,神器传说,"休闲益智, 烧脑"
16,影之守卫,"角色扮演, ARPG"
17,保卫向日葵,"休闲益智, 塔防"
18,佣兵小镇,"角色扮演, 卡牌"
19,腾讯欢乐斗地主,纸牌
20,永远的蔚蓝星球,"休闲益智, 塔防"
21,英雄没有闪,"角色扮演, ARPG"
22,口袋奇兵,"动作冒险, 战术竞技"
23,超能下蛋鸭,"休闲益智, 烧脑"
24,浪漫餐厅,"休闲益智, 烧脑"
25,妖怪金手指,"角色扮演, ARPG"
26,三国大冒险,"角色扮演, 回合制"
27,盗墓笔记,"角色扮演, 卡牌"
28,主宰世界,"角色扮演, 战争, 军事"
29,王者征途,"角色扮演, MMORPG"
30,弹弹星球,"动作冒险, 战术竞技"
31,武侠大明星,"休闲益智, 塔防"
32,花札物语,"休闲益智, 经营"
33,咸鱼之王,"角色扮演, 卡牌"
34,这城有良田,"休闲益智, 经营"
35,全境守卫,"休闲益智, 塔防"
36,勇者之轮,"休闲益智, 烧脑"
37,雀神广东麻将,纸牌
38,一步两步,"休闲益智, 烧脑"
39,我的英雄之路,"角色扮演, ARPG"
40,一路狂飙,"休闲益智, 塔防"
41,元梦之星,"动作冒险, 休闲益智"
42,永恒征战,"角色扮演, ARPG"
43,欢乐战三国,"角色扮演, 卡牌"
44,次神：光之觉醒,"角色扮演, 卡牌"
45,指尖无双,"角色扮演, 卡牌"
46,开心消消乐,"休闲益智, 消除"
47,四季合合,"休闲益智, 消除"
48,塔防精灵,"动作冒险, 战术竞技"
49,鱼吃鱼,"休闲益智, 烧脑"
50,指尖王国,"动作冒险, 战术竞技"
51,时光杂货店,"休闲益智, 经营"
52,天境传说,"角色扮演, 卡牌"
53,无尽防线,"休闲益智, 塔防"
54,小鸡舰队出击,"休闲益智, 塔防"
55,英雄冒险团,"角色扮演, MMORPG"
56,肥鹅健身房,"休闲益智, 经营"
57,勇者联盟,"角色扮演, ARPG"
58,我是大主公,"角色扮演, 战争, 军事"
59,指尖像素城,"角色扮演, 卡牌"
60,仙逆H5,"角色扮演, 卡牌"
61,守愿者,"角色扮演, 卡牌"
